Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,81400.000000,81900.000000,80600.000000,81400.000000,80682.671875,25420764
2021-03-10,82400.000000,82500.000000,80700.000000,80900.000000,80187.078125,20038422
2021-03-11,81000.000000,82500.000000,81000.000000,82000.000000,81277.382813,23818297
2021-03-12,83100.000000,83500.000000,82400.000000,82800.000000,82070.335938,13530573
2021-03-15,82800.000000,82900.000000,81800.000000,81800.000000,81079.148438,13735798
2021-03-16,82200.000000,83000.000000,82100.000000,82800.000000,82070.335938,12293537
2021-03-17,82800.000000,82900.000000,82000.000000,82300.000000,81574.742188,11625146
2021-03-18,82800.000000,83800.000000,82600.000000,82900.000000,82169.460938,18585244
2021-03-19,82100.000000,82500.000000,81800.000000,81900.000000,81178.265625,15869700
2021-03-22,82000.000000,82300.000000,81700.000000,82000.000000,81277.382813,12670506
2021-03-23,82600.000000,82900.000000,81800.000000,81800.000000,81079.148438,13299907
2021-03-24,81000.000000,81600.000000,80700.000000,81000.000000,80286.203125,17926638
2021-03-25,81000.000000,82100.000000,80800.000000,81200.000000,80484.437500,14758826
2021-03-26,81400.000000,81600.000000,81000.000000,81500.000000,80781.796875,12845778
2021-03-29,81700.000000,81700.000000,81000.000000,81600.000000,80880.914063,14952134
2021-03-30,81600.000000,82300.000000,81300.000000,82200.000000,81837.679688,13121698
2021-03-31,82400.000000,82700.000000,81400.000000,81400.000000,81041.203125,17240518
2021-04-01,82500.000000,83000.000000,82000.000000,82900.000000,82534.593750,18676461
2021-04-02,84000.000000,85200.000000,83900.000000,84800.000000,84426.218750,22997538
2021-04-05,85800.000000,86000.000000,84800.000000,85400.000000,85023.570313,16255990
2021-04-06,86200.000000,86200.000000,85100.000000,86000.000000,85620.929688,19042023
2021-04-07,86100.000000,86200.000000,85400.000000,85600.000000,85222.687500,17885538
2021-04-08,85700.000000,85700.000000,84100.000000,84700.000000,84326.656250,19244259
2021-04-09,84700.000000,84900.000000,83400.000000,83600.000000,83231.507813,18193707
2021-04-12,84100.000000,84100.000000,83100.000000,83200.000000,82833.265625,12915282
2021-04-13,83000.000000,84500.000000,82800.000000,84000.000000,83629.742188,15238206
2021-04-14,84000.000000,84300.000000,83400.000000,84000.000000,83629.742188,13794652
2021-04-15,83700.000000,84500.000000,83400.000000,84100.000000,83729.304688,16377412
2021-04-16,84700.000000,84700.000000,83600.000000,83900.000000,83530.187500,15429522
2021-04-19,83800.000000,84000.000000,83300.000000,83300.000000,82932.828125,15287311
2021-04-20,83300.000000,84000.000000,83100.000000,83900.000000,83530.187500,15521965
2021-04-21,83300.000000,83500.000000,82500.000000,82600.000000,82235.914063,21636079
2021-04-22,82900.000000,83000.000000,82400.000000,82400.000000,82036.796875,13934746
2021-04-23,81900.000000,82900.000000,81600.000000,82800.000000,82435.031250,17805080
2021-04-26,82900.000000,83500.000000,82600.000000,83500.000000,83131.945313,15489938
2021-04-27,83200.000000,83300.000000,82500.000000,82900.000000,82534.593750,12941533
2021-04-28,83200.000000,83200.000000,82100.000000,82100.000000,81738.117188,15596759
2021-04-29,82400.000000,82500.000000,81500.000000,81700.000000,81339.882813,20000973
2021-04-30,81900.000000,82100.000000,81500.000000,81500.000000,81140.765625,18673197
2021-05-03,81000.000000,82400.000000,81000.000000,81700.000000,81339.882813,15710336
2021-05-04,81900.000000,82600.000000,81800.000000,82600.000000,82235.914063,12532550
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,81937.234375,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,81539.000000,14154882
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,82833.265625,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,80842.085938,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,79647.375000,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,78153.984375,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,79746.929688,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,79249.140625,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,79249.140625,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,79149.578125,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,79746.929688,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,79348.695313,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,79547.812500,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,79448.257813,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,79249.140625,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,79746.929688,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,80145.171875,13321324
2021-06-01,80500.000000,81300.000000,80100.000000,80600.000000,80244.726563,14058401
2021-06-02,80400.000000,81400.000000,80300.000000,80800.000000,80443.851563,16414644
2021-06-03,81300.000000,83000.000000,81100.000000,82800.000000,82435.031250,29546007
2021-06-04,82700.000000,82700.000000,81500.000000,82200.000000,81837.679688,18112259
2021-06-07,82700.000000,82800.000000,81600.000000,81900.000000,81539.000000,16496197
2021-06-08,82300.000000,82600.000000,81800.000000,81900.000000,81539.000000,12781226
2021-06-09,81500.000000,82000.000000,81100.000000,81100.000000,80742.523438,14908823
2021-06-10,81300.000000,81400.000000,80900.000000,81000.000000,80642.968750,17586995
2021-06-11,81200.000000,81700.000000,80700.000000,81000.000000,80642.968750,14087962
2021-06-14,80800.000000,80900.000000,80500.000000,80500.000000,80145.171875,10550078
2021-06-15,80900.000000,81200.000000,80600.000000,80900.000000,80543.406250,10075685
2021-06-16,81500.000000,81900.000000,81100.000000,81800.000000,81439.437500,14999855
2021-06-17,81100.000000,81300.000000,80700.000000,80900.000000,80543.406250,14007385
2021-06-18,81100.000000,81100.000000,80500.000000,80500.000000,80145.171875,14916721
2021-06-21,79700.000000,80000.000000,79600.000000,79900.000000,79547.812500,16063340
2021-06-22,80200.000000,80300.000000,79900.000000,80000.000000,79647.375000,11773365
2021-06-23,80500.000000,80600.000000,79900.000000,80100.000000,79746.929688,13856548
2021-06-24,80400.000000,81400.000000,80100.000000,81200.000000,80842.085938,18771080
2021-06-25,81500.000000,81900.000000,81200.000000,81600.000000,81240.320313,13481405
2021-06-28,81700.000000,82000.000000,81600.000000,81900.000000,81539.000000,11578529
2021-06-29,81900.000000,82100.000000,80800.000000,81000.000000,81000.000000,15744317
2021-06-30,81100.000000,81400.000000,80700.000000,80700.000000,80700.000000,13288643
2021-07-01,80500.000000,80600.000000,80000.000000,80100.000000,80100.000000,13382882
2021-07-02,80000.000000,80400.000000,79900.000000,80000.000000,80000.000000,8753097
2021-07-05,80100.000000,80800.000000,80000.000000,80400.000000,80400.000000,8330969
2021-07-06,80600.000000,81200.000000,80500.000000,81200.000000,81200.000000,12131651
2021-07-07,81200.000000,81300.000000,80300.000000,80800.000000,80800.000000,15992202
2021-07-08,81100.000000,81200.000000,79900.000000,79900.000000,79900.000000,16660998
2021-07-09,79600.000000,79800.000000,79000.000000,79400.000000,79400.000000,22720577
2021-07-12,79900.000000,80000.000000,79500.000000,79700.000000,79700.000000,9768108
2021-07-13,80000.000000,80200.000000,79800.000000,79800.000000,79800.000000,9863450
2021-07-14,79400.000000,79600.000000,79100.000000,79500.000000,79500.000000,11575636
2021-07-15,79800.000000,80600.000000,79500.000000,80600.000000,80600.000000,13766279
2021-07-16,80100.000000,80100.000000,79500.000000,79800.000000,79800.000000,10859399
2021-07-19,79100.000000,79200.000000,78800.000000,79000.000000,79000.000000,13155414
2021-07-20,78500.000000,79000.000000,78400.000000,79000.000000,79000.000000,12456646
2021-07-21,79000.000000,79100.000000,78500.000000,78500.000000,78500.000000,12355296
2021-07-22,79000.000000,79800.000000,78900.000000,79700.000000,79700.000000,12618790
2021-07-23,79700.000000,79900.000000,79200.000000,79300.000000,79300.000000,9098910
2021-07-26,79400.000000,79500.000000,78800.000000,78800.000000,78800.000000,10040975
2021-07-27,79200.000000,79400.000000,78500.000000,78500.000000,78500.000000,11427693
2021-07-28,78300.000000,79200.000000,78100.000000,79200.000000,79200.000000,12743417
2021-07-29,78800.000000,79400.000000,78800.000000,79000.000000,79000.000000,14360453
2021-07-30,78900.000000,78900.000000,78500.000000,78500.000000,78500.000000,13823411
2021-08-02,79200.000000,79500.000000,78700.000000,79300.000000,79300.000000,11739124
2021-08-03,79400.000000,81400.000000,79300.000000,81400.000000,81400.000000,24339360
2021-08-04,82200.000000,83100.000000,81800.000000,82900.000000,82900.000000,25642368
2021-08-05,83300.000000,83300.000000,82000.000000,82100.000000,82100.000000,18485469
2021-08-06,81900.000000,82500.000000,81300.000000,81500.000000,81500.000000,13342623
2021-08-09,81500.000000,82300.000000,80900.000000,81500.000000,81500.000000,15522581
2021-08-10,82300.000000,82400.000000,80100.000000,80200.000000,80200.000000,20362639
